image_id,file_path,dataset_label,source_url,license_url
00000000-0000-4000-8000-000000000001,data/corpus/raw/bear/bear_001.jpg,bear,https://www.pexels.com/photo/bears-batching-in-a-river-18453573/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000002,data/corpus/raw/bear/bear_002.jpg,bear,https://www.pexels.com/photo/majestic-european-brown-bear-in-slovak-wilderness-38965576/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000003,data/corpus/raw/bear/bear_003.jpg,bear,https://www.pexels.com/photo/black-and-brown-bear-on-gray-rock-7492295/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000004,data/corpus/raw/bear/bear_004.jpg,bear,https://www.pexels.com/photo/brown-bear-3048718/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000005,data/corpus/raw/bear/bear_005.jpg,bear,https://www.pexels.com/photo/olympic-black-bear-standing-next-to-stone-23914517/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000006,data/corpus/raw/bear/bear_006.jpg,bear,https://www.pexels.com/photo/portrait-of-bear-25956521/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000007,data/corpus/raw/bear/bear_007.jpg,bear,https://www.pexels.com/photo/brown-bear-lying-on-dry-leaves-10172222/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000008,data/corpus/raw/bear/bear_008.jpg,bear,https://www.pexels.com/photo/brown-bear-standing-on-log-10615400/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000009,data/corpus/raw/bear/bear_009.jpg,bear,https://www.pexels.com/photo/close-up-of-a-grizzly-bear-17646622/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000010,data/corpus/raw/bear/bear_010.jpg,bear,https://www.pexels.com/photo/brown-bear-in-swedish-countryside-grassland-31451543/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000011,data/corpus/raw/deer/deer_001.jpg,deer,https://www.pexels.com/photo/moody-blue-27626067/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000012,data/corpus/raw/deer/deer_002.jpg,deer,https://www.pexels.com/photo/brown-deer-on-green-grass-field-4654632/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000013,data/corpus/raw/deer/deer_003.jpg,deer,https://www.pexels.com/photo/brown-deers-on-field-4654627/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000014,data/corpus/raw/deer/deer_004.jpg,deer,https://www.pexels.com/photo/brown-deer-standing-on-brown-soil-3736574/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000015,data/corpus/raw/deer/deer_005.jpg,deer,https://www.pexels.com/photo/brown-deer-under-the-green-leaves-5972832/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000016,data/corpus/raw/deer/deer_006.jpg,deer,https://www.pexels.com/photo/brown-deer-standing-on-brown-grass-field-4654630/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000017,data/corpus/raw/deer/deer_007.jpg,deer,https://www.pexels.com/photo/young-red-deer-18291217/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000018,data/corpus/raw/deer/deer_008.jpg,deer,https://www.pexels.com/photo/deers-on-a-grassy-field-9226936/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000019,data/corpus/raw/deer/deer_009.jpg,deer,https://www.pexels.com/photo/brown-deer-on-green-grass-field-8480070/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000020,data/corpus/raw/deer/deer_010.jpg,deer,https://www.pexels.com/photo/brown-deer-on-field-10419057/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000021,data/corpus/raw/dog/dog_001.jpg,dog,https://www.pexels.com/photo/white-puppy-dog-20680840/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000022,data/corpus/raw/dog/dog_002.jpg,dog,https://www.pexels.com/photo/two-dogs-playfully-wrestling-on-grass-39052938/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000023,data/corpus/raw/dog/dog_003.jpg,dog,https://www.pexels.com/photo/close-up-shot-of-puppies-7256826/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000024,data/corpus/raw/dog/dog_004.jpg,dog,https://www.pexels.com/photo/close-up-of-a-puppy-on-the-ground-16299046/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000025,data/corpus/raw/dog/dog_005.jpg,dog,https://www.pexels.com/photo/adorable-puppy-duo-in-natural-setting-29373007/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000026,data/corpus/raw/dog/dog_006.jpg,dog,https://www.pexels.com/photo/close-up-of-puppies-15778742/,https://www.pexels.com/license/
00000000-0000-4000-8000-000000000027,data/corpus/raw/dog/dog_007.jpg,dog,https://www.pexels.com/photo/two-puppies-behind-a-wooden-board-18941334/,https://www.pexels.com/license/
